,Name,Win Rate,Games played,Games won,Avg game time,Team first tower %,Team first inhib %,Avg damage to champs,Avg healing on others,Avg shielding on others,Avg Damage taken,Avg damage to towers,puuid
0,Battleborn Kayle,100.0,1.0,1.0,18.2,100.0,100.0,40349.0,0.0,0.0,44443.0,2443.0,SYw_ujjAjJslp1qydwuqwp9hmkzE-dIuV3zemfmZitDHIEwDC7QHB4qu_VrF6scQKC34BVioOr1ITw
1,Marlov7,60.8,74.0,45.0,18.0,60.8,55.400000000000006,24710.0,253.0,134.0,24869.0,1403.0,xK_JmP-2LHE5GQpSMspdsrCoIHYOKTC1u9sC7gLApwSzLHqexgZ3KUdXNPrh5hA4kfSxgMqk0FXsMA
2,hypixel skywars,56.3,87.0,49.0,18.9,41.4,43.7,23586.0,514.0,361.0,24263.0,1694.0,e5LW5vXGrIxwITJZeG7zOWU9g-BcNMFPeY_tonBJIbKbMfGX_HawVxx4zxutJ8DmxSzpmT16SxRlOQ
3,Call me Rose,54.7,371.0,203.0,19.7,54.400000000000006,54.400000000000006,25656.0,1041.0,749.0,26772.0,2289.0,BSjg-3U3qKY6oOAwLKuyGS3XnW1384fXljRlO7dRLhlvozqUmPvd69Z9pOpW0ckyLf-53W3ApofsKw
4,Magnifiko666,54.7,159.0,87.0,19.8,49.7,45.9,26550.0,222.0,215.0,25740.0,1603.0,zSnlK0jVtqtY-qNEn5olMEpWpi6Xn6gtzfpKm9PRjoniV4nX0BVy90qBYhLZnUF3YwwEJDuEi4buRA
5,Highly Religious,54.4,331.0,180.0,19.5,56.2,52.900000000000006,23377.0,516.0,828.0,29044.0,1833.0,QRbY_hnCIUAyNJhdpbW6Y9bWIPPygitoWrqTQxIyFPBseNpWl0mTrgzGEh4IJq_Up5EsuxbEMrBvqA
6,Lectric,52.9,450.0,238.0,19.8,51.1,52.7,25785.0,406.0,443.0,27282.0,1194.0,2B_WuDsnfGWaiKxIPQAWfCVQ6RQW-SfyUR2Pwsnil3_CyC7MtsqhXHPOioq4e_urz2Bm-klUthln1A
7,HeziK,51.7,176.0,91.0,19.8,52.3,52.3,26736.0,284.0,443.0,19820.0,1855.0,MZ19hCfM4HZU2fLTl5pGhMMGF1KtIKoebDdv0bye6zWSRVrPvny5RgNRv8Sz5t0oVp3xe0wDTO9MkQ
8,Mafla Jinx,51.0,471.0,240.0,19.7,51.4,48.6,22578.0,1700.0,623.0,27838.0,1787.0,oE0ziwprOPWTIcBgYYyL3TpfwABFuPWvbLWTKfLXpdAltBE6YlDesT7lCdwVdfKzIOpLQe7xas3Vzw
9,Junachina,48.0,467.0,224.0,19.0,53.1,51.8,23055.0,682.0,598.0,24878.0,1499.0,3tOHk6Ng4hNf3Cuaz2kiY-2ftoHApLyxFV-BDRcoWk3NMfZb0aEwOF4evu_vtD_kO-pIpDbHi1pPbA
10,Hobo,48.0,329.0,158.0,19.8,52.3,52.6,23151.0,400.0,555.0,32192.0,1340.0,VgLf1GorFmTKljQcMnJETYA-6WQu0q1-k-k7OX3d1pJXHG3kPE4gIxMTHB1Wjx5tYJZ6WzxUGR_CFA
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
