,Games played,Games won,Win rate,Avg damage to champs,Avg game time,Dmg per minute,Avg kills,Avg deaths,Avg assists
Malphite,13,4,30.8,26760.923076923078,20294.93076923077,1.3186013483473138,9.23076923076923,10.538461538461538,17.384615384615383
Karthus,12,7,58.3,40686.416666666664,17737.766666666666,2.2937733611709854,9.75,18.75,28.75
Varus,12,8,66.7,35116.083333333336,16176.283333333333,2.1708375533316784,13.166666666666666,7.5,21.833333333333332
Ziggs,10,7,70.0,27390.7,18083.250000000004,1.5147000677422473,6.5,7.9,24.3
Xerath,10,8,80.0,33404.6,18923.98,1.7651994982028094,10.2,6.2,26.0
Thresh,8,4,50.0,14488.75,21403.1,0.6769463302045031,3.75,8.875,34.875
Vayne,7,7,100.0,25253.285714285714,17972.085714285717,1.4051393987183296,12.714285714285714,7.714285714285714,14.142857142857142
DrMundo,7,5,71.4,15245.42857142857,12185.142857142857,1.2511489401613205,4.142857142857143,7.571428571428571,16.714285714285715
Ashe,6,5,83.3,33053.166666666664,22784.666666666668,1.4506758931445123,5.333333333333333,8.333333333333334,27.333333333333332
Ezreal,6,5,83.3,41984.666666666664,13330.15,3.1496019674697333,14.5,7.5,17.833333333333332
Caitlyn,6,3,50.0,31057.0,19580.7,1.5861026418871644,11.333333333333334,8.166666666666666,19.333333333333332
Lillia,6,3,50.0,30476.5,18977.25,1.605949228681711,7.666666666666667,8.0,17.0
Janna,6,4,66.7,9837.666666666666,16316.533333333335,0.6029262751891741,3.3333333333333335,6.833333333333333,30.333333333333332
Tristana,5,1,20.0,27527.0,19637.46,1.4017596980464888,8.6,9.2,17.8
Soraka,5,2,40.0,7937.8,21736.940000000002,0.36517559509296155,2.6,5.8,35.8
Jhin,5,4,80.0,28634.6,19000.120000000003,1.5070746921598388,17.0,6.4,17.8
Viktor,5,2,40.0,26188.4,19442.4,1.3469736246553923,9.0,11.2,13.6
Ornn,5,3,60.0,11518.4,18786.34,0.6131263460578271,3.8,8.4,20.2
Malzahar,4,2,50.0,29100.0,19691.324999999997,1.4778081210888554,8.75,10.0,24.0
Leona,4,1,25.0,14169.5,19801.550000000003,0.7155752958733027,5.0,9.5,26.25
Brand,4,2,50.0,30755.5,20734.225,1.4833204520545138,7.0,10.75,20.75
Amumu,4,4,100.0,19284.5,18097.4,1.0655950578536142,7.25,9.5,24.0
Darius,4,2,50.0,19263.25,17378.850000000002,1.108430649899159,9.0,10.25,18.0
LeeSin,4,2,50.0,19862.5,18312.45,1.0846445997122176,7.5,9.25,25.5
Jinx,4,3,75.0,29461.25,19268.35,1.5289970339961647,9.25,7.5,20.75
Alistar,4,3,75.0,13699.75,9645.275,1.420358673029022,4.5,9.75,33.25
Senna,4,1,25.0,30552.25,17564.025,1.7394788495233864,10.75,6.5,32.5
FiddleSticks,4,2,50.0,17051.5,11614.4,1.4681343849015016,5.25,7.25,17.0
Jayce,4,1,25.0,55541.25,18787.3,2.956318896275676,19.25,10.75,27.5
Teemo,4,3,75.0,18536.75,12866.2,1.4407323063530801,7.0,7.75,14.25
Twitch,4,2,50.0,25236.0,10707.275,2.3569021996726525,13.0,6.5,15.25
Sett,3,1,33.3,25010.333333333332,18487.766666666666,1.352804467098063,5.0,11.0,27.333333333333332
Corki,3,2,66.7,49062.0,24461.533333333336,2.005679665760936,11.666666666666666,14.666666666666666,27.333333333333332
Draven,3,3,100.0,24129.666666666668,16013.866666666667,1.506798274828482,12.333333333333334,5.333333333333333,12.333333333333334
Aatrox,3,1,33.3,20064.0,19528.600000000002,1.0274161998299929,10.0,9.666666666666666,11.333333333333334
Leblanc,3,0,0.0,29403.666666666668,20763.600000000002,1.41611602355404,14.666666666666666,10.333333333333334,11.0
Zyra,3,0,0.0,32198.0,20201.166666666668,1.5938683409374046,7.333333333333333,8.333333333333334,17.666666666666668
MasterYi,3,3,100.0,39469.333333333336,16141.466666666667,2.4452135700184203,18.666666666666668,12.333333333333334,19.666666666666668
Nautilus,3,2,66.7,20524.666666666668,11625.866666666667,1.7654311076450215,4.666666666666667,9.0,25.666666666666668
Kayle,3,2,66.7,20706.0,11602.699999999999,1.7845846225447526,9.666666666666666,7.666666666666667,20.0
MissFortune,3,1,33.3,38604.0,21281.9,1.8139357858085978,9.0,7.333333333333333,24.333333333333332
TwistedFate,3,1,33.3,17712.0,16824.666666666668,1.0527400245671037,7.333333333333333,10.666666666666666,17.333333333333332
