,assists,bountyLevel,champLevel,championName,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInSurrender,goldEarned,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,nexusKills,nexusTakedowns,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,puuid,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamId,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,win,objectives.champion.first,objectives.champion.kills,objectives.inhibitor.first,objectives.inhibitor.kills,objectives.tower.first,objectives.tower.kills,gameDuration,timeStarted,minionDamage,assists_pm,damageDealtToBuildings_pm,deaths_pm,goldEarned_pm,kills_pm,magicDamageDealt_pm,magicDamageDealtToChampions_pm,magicDamageTaken_pm,minionDamage_pm,physicalDamageDealt_pm,physicalDamageDealtToChampions_pm,physicalDamageTaken_pm,spell1Casts_pm,spell2Casts_pm,spell3Casts_pm,spell4Casts_pm,totalDamageDealt_pm,totalDamageDealtToChampions_pm,totalDamageShieldedOnTeammates_pm,totalDamageTaken_pm,totalHeal_pm,totalHealsOnTeammates_pm,totalMinionsKilled_pm,totalTimeSpentDead_pm
0,17,6,17,Jinx,2,3701,3701,3701,6706,6,False,False,False,True,False,15225,11500,0,1,1,3006,3085,3031,1053,0,2052,5,14,6,3,213,1280,520,13167,1,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 2, 'var2': 30, 'var3': 0}, {'perk': 8009, 'var1': 3133, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 12, 'var2': 10, 'var3': 0}, {'perk': 8014, 'var1': 838, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8139, 'var1': 1306, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 3337, 'var2': 5, 'var3': 0}], 'style': 8100}]}",108725,23714,6816,sOPO1k89UVBxFijqWQ8eO9qme4rsLPV8vCrzrxNfDZeFCvndZoUlrHJDWLF8nIOPdcF3vyHYb7YPew,83,65,16,8,5,4,5,7,316,julciol,100,22,1069,122238,26348,0,22472,5629,532,116,138,12231,2113,2488,2,4,2,True,False,39,False,1,True,4,17.8,1630182648000,92189,1.0,207.9,0.3,855.3,0.8,71.9,29.2,739.7,5179.2,6108.1,1332.2,382.9,4.7,3.7,0.9,0.4,6867.3,1480.2,0.0,1262.5,316.2,29.9,6.5,7.8
1,24,3,17,Kayle,4,2551,2551,2551,6386,7,False,False,False,False,False,12788,10600,1,1,1,3006,3115,3153,0,0,2052,3,9,3,2,260,33309,12763,14299,0,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 1537, 'var2': 1016, 'var3': 521}, {'perk': 9111, 'var1': 806, 'var2': 330, 'var3': 0}, {'perk': 9104, 'var1': 5, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 714, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8444, 'var1': 663, 'var2': 0, 'var3': 0}, {'perk': 8451, 'var1': 228, 'var2': 0, 'var3': 0}], 'style': 8400}]}",13049,3995,6298,p0F8G7I_9kBVBG9oLzTOSxmBZ-nkjVAeY7IWuxqRNB43twQkT153uDW9zwwXsZIDCYSc8by1hExSgA,33,35,48,6,4,4,10,32,267,mert1983,100,7,1069,48956,18347,0,24497,5873,1262,33,154,2597,1588,3898,1,3,2,True,False,39,False,1,True,4,17.8,1630182648000,28058,1.3,143.3,0.4,718.4,0.5,1871.3,717.0,803.3,1576.3,733.1,224.4,353.8,1.9,2.0,2.7,0.3,2750.3,1030.7,0.0,1376.2,329.9,70.9,1.9,8.7
2,20,0,17,TwistedFate,6,2248,2248,2248,5006,7,False,False,True,False,False,12531,10600,0,1,1,3020,3100,4628,0,0,2052,2,7,2,2,271,79311,29061,10097,0,1,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 1939, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 678, 'var3': 0}, {'perk': 8233, 'var1': 9, 'var2': 50, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 4774, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 620, 'var2': 0, 'var3': 0}], 'style': 8000}]}",2930,851,5095,Ij-LXAw12mLFcoYd3jxm_9pQQGeEc2gfmkLOld-VxmrwMCwxwxQG0aLXsbpQSG7PzUNBwpmFCYzWKA,111,130,0,5,10,32,2,4,340,jel11,100,28,1069,82756,30327,0,17525,119,0,48,186,514,414,2333,0,3,2,True,False,39,False,1,True,4,17.8,1630182648000,50181,1.1,126.3,0.4,704.0,0.4,4455.7,1632.6,567.2,2819.2,164.6,47.8,286.2,6.2,7.3,0.0,0.3,4649.2,1703.8,0.0,984.6,6.7,0.0,2.7,10.4
3,19,0,16,JarvanIV,0,771,771,771,15869,7,False,False,True,False,False,12628,11700,0,1,1,6693,6676,6695,3035,1036,0,2,9,2,2,276,1147,774,10443,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 976, 'var2': 14, 'var3': 0}, {'perk': 8143, 'var1': 292, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 1213, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8014, 'var1': 549, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 582, 'var2': 280, 'var3': 0}], 'style': 8000}]}",33845,10466,7795,2B_WuDsnfGWaiKxIPQAWfCVQ6RQW-SfyUR2Pwsnil3_CyC7MtsqhXHPOioq4e_urz2Bm-klUthln1A,30,15,25,8,15,32,4,4,132,Lectric,100,21,1069,38072,11730,0,19143,2367,0,35,184,3079,489,904,0,2,2,True,False,39,False,1,True,4,17.8,1630182648000,25571,1.1,43.3,0.4,709.4,0.5,64.4,43.5,586.7,1436.6,1901.4,588.0,437.9,1.7,0.8,1.4,0.4,2138.9,659.0,0.0,1075.4,133.0,0.0,2.0,10.3
4,34,0,17,Soraka,0,693,693,693,8876,8,False,False,True,False,False,10364,8350,0,1,1,3111,3083,6617,3114,0,2052,0,0,0,0,164,8803,4903,14143,0,1,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8465, 'var1': 2336, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 451, 'var2': 0, 'var3': 0}, {'perk': 8444, 'var1': 1122, 'var2': 0, 'var3': 0}, {'perk': 8453, 'var1': 2872, 'var2': 411, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 9105, 'var1': 10, 'var2': 10, 'var3': 0}, {'perk': 8009, 'var1': 2485, 'var2': 0, 'var3': 0}], 'style': 8000}]}",743,241,4112,WrUPzb7m3QQ70QKv_xr2FTR-LGvFVwwfBNfh_e9jet9pnTJWWatAcb2kZKujOUU-dUpMP7EEcaEM2w,67,94,35,7,6,6,4,4,252,Lovely Nuke,100,35,1069,9547,5145,2199,19884,19354,14807,5,174,0,0,1629,1,4,2,True,False,39,False,1,True,4,17.8,1630182648000,3709,1.9,38.9,0.4,582.2,0.0,494.6,275.4,794.6,208.4,41.7,13.5,231.0,3.8,5.3,2.0,0.4,536.3,289.0,123.5,1117.1,1087.3,831.9,0.3,9.8
5,20,0,15,Ahri,2,451,451,451,7212,9,False,False,False,False,False,10540,9400,0,1,1,3020,3165,1058,1058,0,2052,0,1,0,1,233,37930,12876,11603,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 830, 'var2': 0, 'var3': 0}, {'perk': 8139, 'var1': 987, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 1771, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8210, 'var1': 8, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 587, 'var2': 0, 'var3': 0}], 'style': 8200}]}",4974,722,7650,lzqdj35uOjG5m7OjVijmprZeaw3Xh0sSCgVnk5gczOS72CNpm_uMllTeosG85dDq3yC2z3TuuPZK5g,51,50,27,15,17,32,1,4,393,Patsuan,200,21,1069,56297,17584,0,19746,3739,0,36,236,13392,3986,492,0,1,4,False,True,35,True,1,False,2,17.8,1630182648000,38262,1.1,25.3,0.5,592.1,0.1,2130.9,723.4,651.9,2149.6,279.4,40.6,429.8,2.9,2.8,1.5,0.8,3162.8,987.9,0.0,1109.3,210.1,0.0,2.0,13.3
6,7,0,16,Vayne,2,3334,3334,3334,10619,7,False,True,False,False,False,12988,12900,0,1,1,3006,3046,3124,3091,0,0,4,12,3,3,294,77,77,7967,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 779, 'var2': 611, 'var3': 168}, {'perk': 9111, 'var1': 593, 'var2': 190, 'var3': 0}, {'perk': 9104, 'var1': 9, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 531, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8234, 'var1': 4751, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 73, 'var2': 0, 'var3': 0}], 'style': 8200}]}",50597,12617,7788,N9S6xuohxT6IlZhJJUa1Cja2W8GhXF6P7e7g9gCXI_wjo_7RmroObQuZVdnY4rBafk6roGBIzDR0Kw,41,0,8,6,4,4,3,3,142,LTJonas,200,6,1069,56820,15528,0,16593,1077,0,53,156,6145,2833,837,2,2,4,False,True,35,True,1,False,2,17.8,1630182648000,37958,0.4,187.3,0.4,729.7,0.7,4.3,4.3,447.6,2132.5,2842.5,708.8,437.5,2.3,0.0,0.4,0.3,3192.1,872.4,0.0,932.2,60.5,0.0,3.0,8.8
7,21,0,16,Singed,0,0,0,0,22990,8,True,False,False,False,False,10957,9800,0,1,1,3801,3111,6653,3116,1011,0,0,3,0,1,240,30889,14773,13391,0,0,"{'statPerks': {'defense': 5001, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8439, 'var1': 830, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 1273, 'var2': 0, 'var3': 0}, {'perk': 8444, 'var1': 1414, 'var2': 0, 'var3': 0}, {'perk': 8451, 'var1': 227, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]}",824,283,11732,0qc-v3_EtEbyN41JgIf_7v1MxQpjK5hqCrFDuTaxcgcFTOQaWXDHUyLlj3DDbj8dyHORJ9g4VXXN6Q,40,30,17,7,25,32,6,4,126,AliosaTM,200,39,1069,32778,16122,0,26627,2157,492,19,210,1065,1065,1503,0,0,4,False,True,35,True,1,False,2,17.8,1630182648000,16656,1.2,0.0,0.4,615.6,0.2,1735.3,829.9,752.3,935.7,46.3,15.9,659.1,2.2,1.7,1.0,0.4,1841.5,905.7,0.0,1495.9,121.2,27.6,1.1,11.8
8,12,0,14,Leblanc,4,1525,1525,1525,13164,9,True,False,False,False,False,10845,9600,0,1,1,3020,3157,3165,0,0,0,3,7,3,2,239,36615,21162,7316,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1359, 'var2': 20, 'var3': 0}, {'perk': 8143, 'var1': 596, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 1571, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8210, 'var1': 6, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 414, 'var2': 0, 'var3': 0}], 'style': 8200}]}",4413,1280,9168,umzkOD6BBueJQPXVOr9h-_zlR-LcKppPXTx2r73Cf386uFOpqYjocqADQifFY1TWHK3qtuxU8Zt4zQ,36,75,26,13,4,14,4,4,63,KumpelSpongeBoba,200,10,1069,41399,22813,0,17458,1657,0,39,240,370,370,972,0,2,4,False,True,35,True,1,False,2,17.8,1630182648000,17061,0.7,85.7,0.5,609.3,0.4,2057.0,1188.9,411.0,958.5,247.9,71.9,515.1,2.0,4.2,1.5,0.7,2325.8,1281.6,0.0,980.8,93.1,0.0,2.2,13.5
9,11,0,17,Ezreal,0,1240,1240,1240,7080,6,False,False,False,False,False,12691,12050,1,1,1,3177,3100,3158,4636,3145,0,3,11,4,2,392,21253,13260,7745,0,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1003, 'var2': 17, 'var3': 0}, {'perk': 8139, 'var1': 1318, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 3224, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 547, 'var2': 0, 'var3': 0}], 'style': 8000}]}",35575,9971,8525,JVlkur_uikRFwcShjOdeTZgaZEtFcIXSLhIwaLAhuwtJWN_ObFTcTBXl0Rn7IdMYM16z_A1nUoVyBQ,170,37,16,10,7,21,5,4,113,Singed unhinged,200,0,1069,56829,23232,0,17070,3582,0,55,160,0,0,800,0,2,4,False,True,35,True,1,False,2,17.8,1630182648000,32357,0.6,69.7,0.3,713.0,0.6,1194.0,744.9,435.1,1817.8,1998.6,560.2,478.9,9.6,2.1,0.9,0.6,3192.6,1305.2,0.0,959.0,201.2,0.0,3.1,9.0
