,assists,bountyLevel,champLevel,championName,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInSurrender,goldEarned,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,nexusKills,nexusTakedowns,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,puuid,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamId,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,win,objectives.champion.first,objectives.champion.kills,objectives.inhibitor.first,objectives.inhibitor.kills,objectives.tower.first,objectives.tower.kills,gameDuration,minionDamage,assists_pm,damageDealtToBuildings_pm,deaths_pm,goldEarned_pm,kills_pm,magicDamageDealt_pm,magicDamageDealtToChampions_pm,magicDamageTaken_pm,minionDamage_pm,physicalDamageDealt_pm,physicalDamageDealtToChampions_pm,physicalDamageTaken_pm,spell1Casts_pm,spell2Casts_pm,spell3Casts_pm,spell4Casts_pm,totalDamageDealt_pm,totalDamageDealtToChampions_pm,totalDamageShieldedOnTeammates_pm,totalDamageTaken_pm,totalHeal_pm,totalHealsOnTeammates_pm,totalMinionsKilled_pm,totalTimeSpentDead_pm
0,18,0,14,Maokai,2,0,0,0,8984,6,False,False,False,False,False,9234,8600,1,1,0,3076,3020,3083,1028,0,2052,1,3,2,2,275,36534,14359,4512,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 1388, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 240, 'var3': 0}, {'perk': 8210, 'var1': 7, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 2684, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 273, 'var2': 0, 'var3': 0}], 'style': 8000}]}",2971,423,8883,oE0ziwprOPWTIcBgYYyL3TpfwABFuPWvbLWTKfLXpdAltBE6YlDesT7lCdwVdfKzIOpLQe7xas3Vzw,35,9,58,5,9,32,2,4,265,Mafla Jinx,100,40,838,40065,15033,0,14408,2930,0,27,144,560,250,1013,0,0,0,True,True,37,True,1,True,4,14.0,25032,1.3,0.0,0.4,659.6,0.2,2609.6,1025.6,322.3,1788.0,212.2,30.2,634.5,2.5,0.6,4.1,0.4,2861.8,1073.8,0.0,1029.1,209.3,0.0,1.9,10.3
1,9,3,14,Vayne,0,6026,6026,6026,5813,4,False,False,False,False,False,11239,9350,0,1,0,1038,6672,3046,3006,0,2052,4,11,3,3,348,127,47,4812,1,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 875, 'var2': 533, 'var3': 342}, {'perk': 9111, 'var1': 667, 'var2': 200, 'var3': 0}, {'perk': 9104, 'var1': 9, 'var2': 20, 'var3': 0}, {'perk': 8014, 'var1': 492, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8236, 'var1': 14, 'var2': 0, 'var3': 0}, {'perk': 8233, 'var1': 5, 'var2': 20, 'var3': 0}], 'style': 8200}]}",44515,13280,6143,BSjg-3U3qKY6oOAwLKuyGS3XnW1384fXljRlO7dRLhlvozqUmPvd69Z9pOpW0ckyLf-53W3ApofsKw,68,0,7,5,1,4,2,1,235,call me Rose,100,5,838,51942,17860,0,11799,1558,0,43,94,7299,4532,843,1,3,0,True,True,37,True,1,True,4,14.0,28056,0.6,430.4,0.3,802.8,0.8,9.1,3.4,343.7,2004.0,3179.6,948.6,438.8,4.9,0.0,0.5,0.4,3710.1,1275.7,0.0,842.8,111.3,0.0,3.1,6.7
2,29,0,15,Janna,2,1807,1807,1807,4381,3,True,False,True,False,False,9168,7435,0,1,0,3158,3070,3504,3114,1052,2052,0,1,0,1,308,11450,3742,1999,0,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8214, 'var1': 518, 'var2': 1637, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 700, 'var3': 0}, {'perk': 8210, 'var1': 15, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 14, 'var2': 5, 'var3': 0}], 'style': 8100}]}",2424,258,5336,QRbY_hnCIUAyNJhdpbW6Y9bWIPPygitoWrqTQxIyFPBseNpWl0mTrgzGEh4IJq_Up5EsuxbEMrBvqA,64,17,62,4,2,4,4,3,469,Highly Religious,100,30,838,13875,4000,6935,8121,4819,2594,12,72,0,0,785,1,4,0,True,True,37,True,1,True,4,14.0,8068,2.1,129.1,0.2,654.9,0.1,817.9,267.3,142.8,576.3,173.1,18.4,381.1,4.6,1.2,4.4,0.3,991.1,285.7,495.4,580.1,344.2,185.3,0.9,5.1
3,8,3,14,Irelia,0,2002,2002,2002,27778,7,False,True,False,False,False,12982,12050,0,0,0,3047,3053,3091,1036,0,2052,6,19,5,3,175,8299,5372,7305,0,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 1008, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 1335, 'var2': 270, 'var3': 0}, {'perk': 9103, 'var1': 7, 'var2': 40, 'var3': 0}, {'perk': 8299, 'var1': 986, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 510, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 2810, 'var2': 5, 'var3': 0}], 'style': 8100}]}",46544,14533,17849,UaLB23SdeTljqX5tcQl6V02suZEYseN8-v4IFwLxO3A_GUzFo-bdy6cjIQbk7rjy6oo63GQ98BAWDw,90,12,40,4,3,4,19,32,503,Inlovestar,100,20,838,55779,20841,0,27447,7570,0,72,148,935,935,2292,1,4,0,True,True,37,True,1,True,4,14.0,32936,0.6,143.0,0.5,927.3,1.4,592.8,383.7,521.8,2352.6,3324.6,1038.1,1274.9,6.4,0.9,2.9,0.3,3984.2,1488.6,0.0,1960.5,540.7,0.0,5.1,10.6
4,11,0,14,Kassadin,0,206,206,206,8582,5,False,False,True,False,False,8604,8250,0,0,0,2420,3003,3020,1029,0,2052,0,3,0,1,269,18497,12040,4157,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 463, 'var2': 11, 'var3': 0}, {'perk': 8139, 'var1': 767, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 494, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 2570, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 285, 'var2': 0, 'var3': 0}], 'style': 8000}]}",2812,818,7582,Cndx9wNPIZi9q5z-cegU1ud9oz33oFsKXrilNVcxFoBL2Y8D0rXY8yjj_nurrIPkMxeYgDqcygf3eA,27,24,30,39,14,32,2,4,344,Lunãr Rμsh,100,25,838,24195,13374,0,12155,2174,0,10,110,2885,515,414,1,2,0,True,True,37,True,1,True,4,14.0,10615,0.8,14.7,0.4,614.6,0.2,1321.2,860.0,296.9,758.2,200.9,58.4,541.6,1.9,1.7,2.1,2.8,1728.2,955.3,0.0,868.2,155.3,0.0,0.7,7.9
5,15,0,14,Singed,0,0,0,0,10557,7,False,False,False,False,False,8562,8250,0,0,1,3116,0,0,0,3111,2052,1,2,2,2,275,32028,9122,8285,0,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 16, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1364, 'var2': 0, 'var3': 0}, {'perk': 9105, 'var1': 9, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 291, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8234, 'var1': 5912, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}]}",562,106,6087,ag9wTMUnK08_9TGpN_bHUVFl87NgVhjs-dqnDsB5dvdVkg45mUeE6p8MTGV8S6opN0zpWeth1NUhyg,27,24,14,5,2,4,3,6,571,SchwarzeKatze,200,34,838,33092,9546,0,15818,981,0,33,136,500,317,1445,0,0,4,False,False,25,False,0,False,0,14.0,23546,1.1,0.0,0.5,611.6,0.1,2287.7,651.6,591.8,1681.9,40.1,7.6,434.8,1.9,1.7,1.0,0.4,2363.7,681.9,0.0,1129.9,70.1,0.0,2.4,9.7
6,10,0,13,Nocturne,0,0,0,0,20294,8,False,False,False,False,False,8881,8650,0,0,1,6662,3047,1011,3110,1028,2052,1,4,2,1,271,2733,1544,8790,0,0,"{'statPerks': {'defense': 5002, 'flex': 5003, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8437, 'var1': 336, 'var2': 245, 'var3': 0}, {'perk': 8463, 'var1': 940, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 42, 'var2': 20, 'var3': 14}, {'perk': 8451, 'var1': 190, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 9105, 'var1': 10, 'var2': 20, 'var3': 0}, {'perk': 9111, 'var1': 381, 'var2': 140, 'var3': 0}], 'style': 8000}]}",17202,8240,5548,wYKr9bO4F7Kdhj5QtVyqjbKaFwqW1uDWINuY696BPE9k3w_1hrm2VIFTgvA0ggvlUnL5gqruYBxmCQ,34,22,12,9,3,4,5,3,219,halite660,200,86,838,19936,9784,0,16847,2187,219,13,180,0,0,2508,0,0,4,False,False,25,False,0,False,0,14.0,10152,0.7,0.0,0.6,634.4,0.3,195.2,110.3,627.9,725.1,1228.7,588.6,396.3,2.4,1.6,0.9,0.6,1424.0,698.9,0.0,1203.4,156.2,15.6,0.9,12.9
7,10,0,13,Gragas,2,0,0,0,8108,6,False,False,False,False,False,9304,8650,0,0,1,3020,3100,1058,0,0,0,2,7,2,2,287,38774,12119,5990,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 716, 'var2': 14, 'var3': 0}, {'perk': 8126, 'var1': 301, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 4, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 4, 'var2': 30, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}]}",1905,790,6250,JGNexuKFbn7GXFIdxYRXT0YI-_jGW8mh-JQZ5dF_h4ONsQYtOyXxWcj85-_CTQYjmKjfJq8vUB0hkA,95,27,19,8,3,4,1,13,548,Gwedr,200,22,838,40953,13183,0,12854,3822,0,34,108,273,273,614,0,0,4,False,False,25,False,0,False,0,14.0,27770,0.7,0.0,0.4,664.6,0.5,2769.6,865.6,427.9,1983.6,136.1,56.4,446.4,6.8,1.9,1.4,0.6,2925.2,941.6,0.0,918.1,273.0,0.0,2.4,7.7
8,9,0,13,Twitch,2,0,0,0,5052,9,False,False,False,False,False,9945,9375,0,0,1,3006,3085,1038,1037,0,2052,3,9,2,2,275,0,0,6259,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 2, 'var2': 10, 'var3': 0}, {'perk': 9111, 'var1': 342, 'var2': 180, 'var3': 0}, {'perk': 9104, 'var1': 9, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 414, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 325, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}], 'style': 8100}]}",32201,17122,6941,LVImQG0Ym0dD2OytSBeGDc-bcyZnDM4UEyMFSuHAUpgwlr8mSKLrJQe7vuHnA6A4LsG9Xe0n8N77AQ,22,23,17,6,2,4,4,7,471,Twinkýýýý,200,10,838,39561,21882,0,13755,1578,367,34,206,7359,4759,554,0,0,4,False,False,25,False,0,False,0,14.0,17679,0.6,0.0,0.6,710.4,0.6,0.0,0.0,447.1,1262.8,2300.1,1223.0,495.8,1.6,1.6,1.2,0.4,2825.8,1563.0,0.0,982.5,112.7,26.2,2.4,14.7
9,16,0,13,Draven,2,0,0,0,9554,7,False,False,False,False,False,9348,8875,0,0,1,3006,3508,1037,1018,0,2052,1,3,2,1,222,0,0,6237,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 9923, 'var1': 34, 'var2': 70, 'var3': 0}, {'perk': 8139, 'var1': 683, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 1398, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 9111, 'var1': 351, 'var2': 190, 'var3': 0}, {'perk': 9103, 'var1': 10, 'var2': 10, 'var3': 0}], 'style': 8000}]}",32810,10213,9238,cf5Z_Fek24v3hG6L0iYZm6TGhGfhWMguAfIhDVaJLEePZ_iobK_WruGP7U7uFgLzdOXzV7goK_pwOQ,41,51,15,5,4,4,4,6,325,Xavennder,200,10,838,35595,10213,0,16586,1624,0,47,126,2785,0,1110,0,0,4,False,False,25,False,0,False,0,14.0,25382,1.1,0.0,0.5,667.7,0.2,0.0,0.0,445.5,1813.0,2343.6,729.5,659.9,2.9,3.6,1.1,0.4,2542.5,729.5,0.0,1184.7,116.0,0.0,3.4,9.0
